baseLabel,baseId,tableName,tableId,recordCount,countExact,countMethod,countFieldUsed,protectedTable,safeCleanupCandidate,cleanupHint,error
deal-capture-platform-ui,appCCUsuGsE1ifoLk,Hotel Census,tblgj2qEwxjTcg6q0,15635,yes,paginated_select_minimal_fields,name,yes,no,protected_do_not_modify,
deal-capture-platform-ui,appCCUsuGsE1ifoLk,Independent Hotel Source Candidates,tblKAUKiku7eMlV0d,8429,yes,paginated_select_minimal_fields,Source Name,no,yes,staging_or_workflow_table_review_archive_export_first,
deal-capture-platform-ui,appCCUsuGsE1ifoLk,Travel Infrastructure Data,tblux5Xs9o50MgpWF,714,yes,paginated_select_minimal_fields,Name,no,no,,
deal-capture-platform-ui,appCCUsuGsE1ifoLk,Brand Alias Mapping,tbltwiwQp74ZQtEoR,299,yes,paginated_select_minimal_fields,Canonical Brand Name,yes,no,protected_do_not_modify,
deal-capture-platform-ui,appCCUsuGsE1ifoLk,Verified Independent Hotel Census,tbljBvId1z4cEyE1J,288,yes,paginated_select_minimal_fields,Verified Hotel Name,no,no,,
deal-capture-platform-ui,appCCUsuGsE1ifoLk,Financial_Term_Library,tblbtrGzFknUbzLKv,232,yes,paginated_select_minimal_fields,Term ID,no,no,,
deal-capture-platform-ui,appCCUsuGsE1ifoLk,Clause_Variables,tbltDsYa9J266USdB,166,yes,paginated_select_minimal_fields,Variable,no,no,,
deal-capture-platform-ui,appCCUsuGsE1ifoLk,Clause_Library,tbl4wXAIpWLhiRP6W,139,yes,paginated_select_minimal_fields,Clause ID,no,no,,
deal-capture-platform-ui,appCCUsuGsE1ifoLk,Independent Hotel Source Evidence,tbl4FrVompVBs9mTw,122,yes,paginated_select_minimal_fields,Name,no,no,,
deal-capture-platform-ui,appCCUsuGsE1ifoLk,Opportunity Radar,tblSi2YzqpU0CD5HY,45,yes,paginated_select_minimal_fields,Country,no,no,,
